Municipality,Type,County,State,Address - Combined,latitude,longitude
Salisbury,Town,Essex,MA,"Salisbury, MA, USA",42.841723,-70.860598
Sandisfield,Town,Berkshire,MA,"Sandisfield, MA, USA",42.112591,-73.143164
Sandwich,Town,Barnstable,MA,"Sandwich, MA, USA",41.758962,-70.493932
Saugus,Town,Essex,MA,"Saugus, MA, USA",42.465142,-71.011047
Savoy,Town,Berkshire,MA,"Savoy, MA, USA",42.566751,-73.028711
Scituate,Town,Plymouth,MA,"Scituate, MA, USA",42.195929,-70.725863
Seekonk,Town,Bristol,MA,"Seekonk, MA, USA",41.808434,-71.336997
Sharon,Town,Norfolk,MA,"Sharon, MA, USA",42.12365,-71.178624
Sheffield,Town,Berkshire,MA,"Sheffield, MA, USA",42.109989,-73.355144
Shelburne,Town,Franklin,MA,"Shelburne, MA, USA",42.589807,-72.688424
Sherborn,Town,Middlesex,MA,"Sherborn, MA, USA",42.238986,-71.369781
Shirley,Town,Middlesex,MA,"Shirley, MA, USA",42.543704,-71.649518
Shrewsbury,Town,Worcester,MA,"Shrewsbury, MA, USA",42.295927,-71.712847
Shutesbury,Town,Franklin,MA,"Shutesbury, MA, USA",42.456478,-72.409808
Somerset,Town,Bristol,MA,"Somerset, MA, USA",41.769543,-71.128619
Somerville,City,Middlesex,MA,"Somerville, MA, USA",42.387597,-71.099497
South Hadley,Town,Hampshire,MA,"South Hadley, MA, USA",42.259173,-72.574793
Southampton,Town,Hampshire,MA,"Southampton, MA, USA",42.229257,-72.730093
Southborough,Town,Worcester,MA,"Southborough, MA, USA",42.30565,-71.524509
Southbridge,City,Worcester,MA,"Southbridge, MA, USA",42.075107,-72.03339
Southwick,Town,Hampden,MA,"Southwick, MA, USA",42.054817,-72.770372
Spencer,Town,Worcester,MA,"Spencer, MA, USA",42.243968,-71.992287
Springfield,City,Hampden,MA,"Springfield, MA, USA",42.101483,-72.589811
Sterling,Town,Worcester,MA,"Sterling, MA, USA",42.437416,-71.760629
